__libc_csu_init,1,90717,3223,5233,14494,1133233,441178,0,0,463370,0,0,100,0,100,422191 
_init,1,98799,3661,5493,15729,1240814,482395,0,0,505979,0,0,100,0,100,464495 
frame_dummy,1,106932,3984,5665,16717,1339604,523855,0,0,545110,0,0,100,0,100,503544 
frame_dummy,2,110488,4092,5726,17201,1382665,542482,0,0,562183,0,0,100,0,100,520467 
__do_global_ctors_aux,1,122281,4637,6038,18289,1525229,601727,0,0,618625,0,0,100,0,100,577196 
__do_global_ctors_aux,2,125851,4751,6074,18854,1566589,620423,0,0,635005,0,0,100,0,100,593324 
_init,2,133065,5065,6162,19512,1646851,656818,0,0,666749,0,0,100,0,100,625182 
__libc_csu_init,2,140152,5356,6291,20244,1728205,692709,0,0,698948,0,0,100,0,100,657564 
main,1,152082,5890,6535,21510,1879116,752850,0,0,758688,0,0,101,0,101,717248 
main,2,114395861,43549,18139930,34271266,1708479105,505058005,0,16,676693357,0,0,5252,0,5252,676642625 
_fini,1,114407727,44357,18141141,34273030,1708702134,505117776,0,16,676781621,0,0,5252,0,5252,676730175 
__do_global_dtors_aux,1,114416241,44837,18141653,34274363,1708833242,505161613,0,16,676833532,0,0,5252,0,5252,676782060 
__do_global_dtors_aux,2,114419948,44978,18141702,34274867,1708877961,505181048,0,16,676851287,0,0,5252,0,5252,676799637 
_fini,2,114427296,45312,18141866,34275587,1708962968,505218163,0,16,676884929,0,0,5252,0,5252,676833378 
